기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20240825,0,11110515,14191.7438,443.2113,282.415,525.0082,384.7291,353.1762,359.1988,508.9236,460.5307,609.769,585.8756,457.9799,336.5257,222.8052,561.1751,698.8801,418.7492,444.0958,419.0977,401.7024,493.433,639.6756,672.533,773.2157,661.5407,607.175,502.4074,307.9222,1059.9915
20240825,0,11110530,10529.776,165.0796,73.3688,199.4429,252.8865,368.931,360.8142,423.1139,531.4732,472.3258,493.4207,405.8735,306.843,257.0673,497.0933,209.1311,112.0343,213.5701,320.7852,338.6588,503.9365,627.8661,469.519,574.8892,478.7406,433.7628,360.9638,270.0382,808.1468
20240825,0,11110540,3446.6258,51.5958,39.5346,144.5492,339.1941,96.5309,67.3794,138.3449,161.6574,140.0761,111.1607,124.3358,87.0307,85.4014,197.7037,68.6822,42.1906,54.2184,101.3031,108.2733,118.0407,149.1496,152.5655,161.1821,114.5765,124.6375,114.4621,98.7716,254.0782
20240825,0,11110550,13077.8931,417.3706,323.6234,425.8168,426.8693,318.7311,302.9532,414.3025,446.736,489.1789,575.0847,546.3214,377.103,295.4221,692.7624,464.0797,330.5317,356.5437,358.4054,357.2658,360.3928,473.5664,561.2357,625.2396,566.7695,577.2154,509.8295,394.3017,1090.2427
20240825,0,11110560,18463.2996,611.7561,442.503,511.1896,668.2909,403.2387,381.4361,491.0979,555.4757,670.4432,691.1418,679.1353,677.8579,449.5941,906.4717,683.1546,399.146,547.09,500.0589,438.9448,452.3924,689.6211,743.9917,851.7817,830.9742,968.447,903.2947,591.2302,1723.5393
20240825,0,11110570,6475.9751,179.7776,114.9736,216.4926,259.5554,153.4996,194.3723,175.8214,182.4605,253.343,241.4936,251.9046,218.3265,123.8384,356.0153,278.7804,176.2236,299.6515,187.9366,126.7568,174.7975,228.6518,261.0334,315.4005,275.9662,258.1103,280.0357,218.728,472.0284
20240825,0,11110580,7674.4597,396.8034,157.8495,237.3239,213.6174,204.8432,216.582,282.3797,322.2675,378.8901,282.8661,247.3415,174.7839,167.1607,302.003,322.1312,154.1261,256.6665,260.1323,282.9741,210.5633,331.8427,352.1599,391.047,315.6753,310.7361,238.1673,159.4341,504.0916
20240825,0,11110600,4108.9246,80.7149,56.9751,101.3336,139.5956,76.6963,132.1142,142.7225,184.5527,195.0924,178.4817,193.5526,119.7496,71.8987,188.3284,171.1565,97.4274,87.4153,119.4405,140.7667,113.851,142.9072,144.6164,195.1112,191.8285,212.1437,130.9765,99.6422,399.8345
20240825,0,11110615,28695.0846,532.6265,167.814,367.5098,1518.4849,2260.863,2190.9603,2071.904,1321.3593,1517.2711,1226.3624,1113.3607,833.6555,618.7175,924.5716,331.3182,162.473,412.2324,1773.0519,1823.3269,1275.4935,1100.7884,897.3273,942.8946,743.2662,621.0616,488.2382,404.9261,1053.227
20240825,0,11110630,7915.5853,59.206,45.0672,170.7387,306.0371,469.4429,333.0974,364.8867,304.8596,359.5903,341.9033,431.0211,284.7423,187.2677,365.2824,94.4761,98.7708,127.0553,390.7086,420.9233,300.2924,294.1697,230.8365,188.4066,305.258,284.0766,331.7751,197.2211,628.4731
